>Transposon1	seq1:[+]103436-112025 (8589)
>Transposon185 	seq1:[-]200654-200843 (189)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.1 0.8 0.4 0.7 0.0 0.3 0.2 0.4 1.0 0.9 0.4 0.0 0.1 0.1 0.1 0.0 0.0 0.0 
>Transposon186 	seq1:[-]238968-239291 (323)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.6 0.5 0.2 0.1 0.7 0.4 0.8 0.9 0.1 0.2 0.2 0.3 0.5 0.1 0.0 0.2 
>Transposon187 	seq1:[+]213622-213805 (183)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.2 0.7 0.1 0.0 0.6 0.5 1.0 0.8 0.1 0.0 0.1 0.1 0.6 0.1 0.1 0.1 
>Transposon188 	seq1:[-]317242-317467 (225)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.4 0.7 0.1 0.2 0.4 0.5 0.9 0.6 0.2 0.0 0.0 0.1 0.6 0.0 0.1 0.0 
>Transposon189 	seq1:[-]436879-437089 (210)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.1 0.6 0.1 0.3 0.3 0.5 0.9 0.8 0.0 0.2 0.1 0.1 0.4 0.0 0.0 0.0 
>Transposon190 	seq1:[-]472652-472914 (262)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.5 0.9 0.3 0.6 0.2 0.0 0.8 0.5 0.9 0.6 0.4 0.2 0.2 0.1 0.3 0.0 0.1 0.5 
>Transposon191 	seq1:[-]544532-544679 (147)
Zator,TIR,DNATransposon 2/1/5  0.0 0.5 0.5 0.6 0.0 0.2 0.6 0.3 1.0 0.9 0.3 0.0 0.0 0.0 0.9 0.0 0.0 0.1 
>Transposon192 	seq1:[-]559774-559923 (149)
Zator,TIR,DNATransposon 2/1/5  0.3 0.6 0.5 0.3 0.1 0.0 0.5 0.4 0.7 0.9 0.0 0.1 0.1 0.1 0.4 0.0 0.1 0.1 
>Transposon193 	seq1:[+]481224-481424 (200)
hAT,TIR,DNATransposon 2/1/2  0.4 0.9 0.1 0.6 0.2 0.1 0.6 0.5 0.6 0.5 0.0 0.3 0.2 0.1 0.3 0.1 0.0 0.2 
>Transposon194 	seq1:[+]478292-478504 (212)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.2 0.5 0.0 0.2 0.6 0.6 1.0 0.9 0.2 0.0 0.1 0.2 0.4 0.0 0.0 0.2 
>Transposon195 	seq1:[-]595032-595262 (230)
Zator,TIR,DNATransposon 2/1/5  0.3 0.8 0.1 0.4 0.1 0.1 0.6 0.3 1.0 1.0 0.1 0.1 0.0 0.0 0.4 0.1 0.0 0.2 
>Transposon196 	seq1:[-]630410-630587 (177)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.3 0.5 0.0 0.2 0.8 0.3 1.0 0.9 0.0 0.1 0.0 0.0 0.7 0.0 0.0 0.0 
>Transposon197 	seq1:[+]630053-630230 (177)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.3 0.5 0.0 0.2 0.8 0.3 1.0 0.9 0.0 0.1 0.0 0.0 0.7 0.0 0.0 0.0 
>Transposon198 	seq1:[+]572346-572804 (458)
hAT,TIR,DNATransposon 2/1/2  0.2 1.0 0.4 0.7 0.0 0.2 0.4 0.5 0.7 0.6 0.1 0.6 0.0 0.1 0.4 0.0 0.2 0.3 
>Transposon199 	seq1:[+]692750-693054 (304)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.6 0.1 0.1 0.4 0.4 1.0 0.9 0.0 0.2 0.1 0.1 0.6 0.0 0.0 0.0 
>Transposon200 	seq1:[+]750974-751298 (324)
Zator,TIR,DNATransposon 2/1/5  0.3 0.7 0.4 0.5 0.0 0.0 0.6 0.4 0.5 0.8 0.05 0.3 0.1 0.0 0.4 0.0 0.3 0.3 
>Transposon210	seq1:[+]968-1649 (681)
hAT,TIR,DNATransposon 2/1/2  0.2 0.9 0.1 0.3 0.0 0.0 0.4 0.5 0.8 0.7 0.0 0.2 0.1 0.0 0.0 0.0 0.0 0.0 
>Transposon211	seq1:[+]12288-13392 (1104)
CMC,TIR,DNATransposon 2/1/3  0.2 1.0 0.1 0.4 0.0 0.0 0.3 0.1 0.8 0.9 0.0 0.0 0.1 0.0 0.0 0.0 0.1 0.0 
>Transposon212	seq1:[+]15129-19842 (4713)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.0 1.0 0.0 0.6 0.0 0.0 0.7 0.0 0.7 1.0 0.1 0.0 0.0 0.1 0.1 0.0 0.1 0.0 
>Transposon213	seq1:[+]27069-29800 (2731)
hAT,TIR,DNATransposon 2/1/2  0.4 1.0 0.1 0.6 0.0 0.1 0.5 0.1 0.5 0.9 0.0 0.4 0.0 0.1 0.0 0.0 0.1 0.0 
>Transposon214	seq1:[+]51340-52294 (954)
hAT,TIR,DNATransposon 2/1/2  0.3 0.9 0.3 0.2 0.0 0.0 0.5 0.0 0.8 0.9 0.1 0.5 0.1 0.0 0.0 0.4 0.1 0.0 
>Transposon215	seq1:[+]62776-68779 (6003)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.2 1.0 0.1 0.3 0.0 0.0 0.6 0.0 0.6 0.8 0.2 0.0 0.2 0.2 0.0 0.0 0.6 0.0 
>Transposon216	seq1:[+]118106-129149 (11043)
Sola,TIR,DNATransposon 2/1/4  0.3 1.0 0.5 0.4 0.1 0.0 0.6 0.0 0.9 0.5 0.0 0.0 0.0 0.1 0.0 0.1 0.2 0.0 
>Transposon217	seq1:[+]233437-239281 (5844)
CMC,TIR,DNATransposon 2/1/3  0.2 0.9 0.1 0.7 0.1 0.1 0.3 0.0 0.7 0.8 0.0 0.0 0.7 0.0 0.0 0.0 0.2 0.0 
>Transposon218	seq1:[+]242581-243433 (852)
hAT,TIR,DNATransposon 2/1/2  0.5 0.8 0.2 0.4 0.1 0.1 0.5 0.3 0.7 0.7 0.0 0.4 0.2 0.4 0.3 0.0 0.2 0.0 
>Transposon219	seq1:[+]268873-276894 (8021)
CMC,TIR,DNATransposon 2/1/3  0.1 1.0 0.0 0.1 0.0 0.0 0.8 0.0 0.5 0.7 0.0 0.0 0.4 0.0 0.0 0.0 0.2 0.0 
>Transposon220	seq1:[+]293654-296928 (3274)
hAT,TIR,DNATransposon 2/1/2  0.2 0.8 0.0 0.4 0.0 0.0 0.6 0.0 0.9 0.9 0.0 0.4 0.1 0.0 0.0 0.0 0.1 0.0 
>Transposon221	seq1:[+]321669-329111 (7442)
hAT,TIR,DNATransposon 2/1/2  0.1 1.0 0.1 0.7 0.2 0.0 0.6 0.0 0.6 0.9 0.0 0.2 0.2 0.0 0.0 0.0 0.1 0.0 
>Transposon222	seq1:[+]364640-367701 (3061)
CMC,TIR,DNATransposon 2/1/3  0.4 1.0 0.0 0.3 0.0 0.1 0.8 0.0 0.9 0.7 0.1 0.1 0.2 0.0 0.0 0.0 0.1 0.0 
>Transposon223	seq1:[+]380071-380852 (781)
hAT,TIR,DNATransposon 2/1/2  0.0 0.9 0.1 0.7 0.0 0.3 0.6 0.5 1.0 1.0 0.1 0.3 0.0 0.1 0.2 0.0 0.0 0.0 
>Transposon224	seq1:[+]396609-397181 (572)
hAT,TIR,DNATransposon 2/1/2  0.1 0.8 0.2 0.6 0.0 0.0 0.4 0.5 1.0 0.8 0.0 0.3 0.1 0.2 0.2 0.1 0.0 0.0 
>Transposon225	seq1:[+]465134-465936 (802)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.4 0.6 0.0 0.3 0.6 0.3 1.0 1.0 0.0 0.2 0.2 0.0 0.3 0.0 0.0 0.0 
>Transposon226	seq1:[+]476019-476752 (733)
Zator,TIR,DNATransposon 2/1/5  0.0 0.6 0.1 0.7 0.1 0.0 0.3 0.5 0.9 0.7 0.1 0.1 0.3 0.0 0.7 0.0 0.1 0.0 
>Transposon227	seq1:[+]589980-599462 (9482)
Gypsy,LTR,Retrotransposon 1/1/2  0.2 1.0 0.1 0.4 0.0 0.0 0.6 0.0 0.2 0.5 0.0 0.1 0.3 0.0 0.0 0.0 0.4 0.0 
>Transposon228	seq1:[+]601860-607507 (5647)
Gypsy,LTR,Retrotransposon 1/1/2  0.5 1.0 0.2 0.3 0.0 0.0 0.7 0.0 0.5 0.7 0.2 0.3 0.1 0.0 0.0 0.0 0.2 0.0 
>Transposon229	seq1:[+]629719-630916 (1197)
hAT,TIR,DNATransposon 2/1/2  0.3 0.9 0.2 0.6 0.0 0.1 0.36666666666666664 0.0 0.4 0.9 0.1 0.4 0.1 0.1 0.3 0.0 0.3 0.0 
>Transposon230	seq1:[+]658315-666233 (7918)
hAT,TIR,DNATransposon 2/1/2  0.1 0.9 0.1 0.2 0.0 0.0 0.5 0.2 0.8 0.6 0.1 0.3 0.3 0.0 0.1 0.0 0.1 0.0 
>Transposon231	seq1:[+]677832-685770 (7938)
hAT,TIR,DNATransposon 2/1/2  0.5 1.0 0.1 0.3 0.0 0.0 0.8 0.0 0.6 0.8 0.1 0.2 0.0 0.0 0.0 0.0 0.1 0.0 
>Transposon232	seq1:[+]733184-737953 (4769)
Copia,LTR,Retrotransposon 1/1/1  0.6 1.0 0.1 0.1 0.0 0.0 0.6 0.0 0.6 0.9 0.1 0.0 0.1 0.0 0.0 0.0 0.5 0.0 
>Transposon233	seq1:[+]746945-753885 (6940)
CMC,TIR,DNATransposon 2/1/3  0.5 1.0 0.1 0.1 0.0 0.0 0.2 0.0 0.6 0.7 0.0 0.0 0.1 0.0 0.0 0.1 0.7 0.0 
>Transposon234	seq1:[-]599280-599947 (667)
hAT,TIR,DNATransposon 2/1/2  0.1 1.0 0.4 0.4 0.1 0.1 0.4 0.5 0.9 1.0 0.0 0.8 0.1 0.0 0.1 0.0 0.0 0.0 
>Transposon235	seq1:[-]436217-436989 (772)
hAT,TIR,DNATransposon 2/1/2  0.2 1.0 0.3 0.7 0.1 0.1 0.2 0.3 0.8 0.9 0.0 0.6 0.0 0.1 0.0 0.0 0.2 0.0 
>Transposon236	seq1:[-]209204-214772 (5568)
hAT,TIR,DNATransposon 2/1/2  0.1 1.0 0.0 0.3 0.1 0.0 0.6 0.0 0.4 0.7 0.1 0.2 0.1 0.0 0.0 0.0 0.2 0.0 
>Transposon237	seq1:[-]51340-52894 (1554)
hAT,TIR,DNATransposon 2/1/2  0.3 0.8 0.2 0.2 0.1 0.0 0.6 0.0 0.7 1.0 0.0 0.3 0.0 0.0 0.1 0.0 0.0 0.0 
>Transposon4	seq2:[+]59617-62452 (2835)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.5 0.7 0.2 0.6 0.1 0.5 0.3 0.6 0.6 0.6 0.5 0.3 0.5 0.1 0.3 0.1 0.3 0.2 
>Transposon5	seq2:[-]63873-66153 (2280)
Zator,TIR,DNATransposon 2/1/5  0.1 0.8 0.0 0.4 0.0 0.4 0.7 0.75 0.6 0.5 0.0 0.1 0.2 0.0 0.4 0.1 0.5 0.1 
>Transposon6	seq2:[+]221872-233573 (11701)
Gypsy,LTR,Retrotransposon 1/1/2  0.5 1.0 0.1 0.2 0.0 0.0 0.5 0.1 0.4 0.8 0.0 0.1 0.5 0.0 0.0 0.2 0.2 0.0 
>Transposon7	seq2:[+]343966-345722 (1756)
Copia,LTR,Retrotransposon 1/1/1  0.7 0.5 0.6 0.3 0.0 0.2 0.6 0.3 0.3 0.4 0.3 0.0 0.1 0.1 0.6 0.0 0.6 0.2 
>Transposon8	seq2:[+]354142-360959 (6817)
Gypsy,LTR,Retrotransposon 1/1/2  0.6 0.8 0.4 0.5 0.2 0.2 0.6 0.3 0.5 0.7 0.0 0.5 0.3 0.2 0.4 0.3 0.1 0.3 
>Transposon9	seq2:[+]454931-470824 (15893)
Helitron,DNATransposon 2/2  0.6 1.0 0.2 0.5 0.0 0.0 0.5 0.0 0.7 0.4 0.0 0.1 0.3 0.0 0.0 0.0 0.5 0.0 
>Transposon22 	seq2:[+]52464-54096 (1632)
CMC,TIR,DNATransposon 2/1/3  0.1 1.0 0.0 0.6 0.0 0.0 0.5 0.1 0.6 0.9 0.1 0.2 0.3 0.0 0.3 0.0 0.2 0.0 
>Transposon23 	seq2:[+]59697-61291 (1594)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.0 0.8 0.5 0.3 0.0 0.3 0.5 0.6 0.7 0.5 0.4 0.3 0.1 0.0 0.2 0.0 0.1 0.0 
>Transposon24 	seq2:[+]64595-65898 (1303)
CMC,TIR,DNATransposon 2/1/3  0.5 0.9 0.2 0.7 0.1 0.1 0.6 0.5 0.8 0.7 0.0 0.2 0.5 0.4 0.4 0.3 0.2 0.2 
>Transposon25 	seq2:[+]129436-132460 (3024)
Zator,TIR,DNATransposon 2/1/5  0.4 0.9 0.5 0.4 0.4 0.1 0.6 0.2 0.7 0.8 0.3 0.5 0.2 0.2 0.6 0.3 0.0 0.6 
>Transposon26 	seq2:[+]149675-152548 (2873)
Copia,LTR,Retrotransposon 1/1/1  0.7 1.0 0.3 0.2 0.0 0.0 0.4 0.0 0.2 0.4 0.0 0.3 0.1 0.0 0.3 0.0 0.6 0.1 
>Transposon27 	seq2:[+]178462-188974 (10512)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.0 0.5 0.0 0.0 0.8 0.0 0.6 0.7 0.1 0.1 0.0 0.0 0.2 0.0 0.5 0.0 
>Transposon28 	seq2:[+]212478-216283 (3805)
Gypsy,LTR,Retrotransposon 1/1/2  0.5 1.0 0.0 0.1 0.0 0.0 0.4 0.0 0.3 0.7 0.0 0.2 0.0 0.0 0.0 0.0 0.0 0.0 
>Transposon29 	seq2:[+]227288-230428 (3140)
Gypsy,LTR,Retrotransposon 1/1/2  0.7 1.0 0.0 0.5 0.0 0.0 0.3 0.0 0.3 0.9 0.0 0.2 0.1 0.0 0.1 0.1 0.2 0.0 
>Transposon30 	seq2:[+]241657-245259 (3602)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.5 1.0 0.1 0.4 0.0 0.0 0.2 0.0 0.7 0.9 0.1 0.0 0.0 0.0 0.0 0.0 0.3 0.0 
>Transposon31 	seq2:[+]245330-256873 (11543)
Gypsy,LTR,Retrotransposon 1/1/2  0.9 1.0 0.0 0.3 0.0 0.0 0.6 0.0 0.3 0.9 0.1 0.5 0.0 0.0 0.0 0.0 0.1 0.0 
>Transposon32 	seq2:[+]271325-274307 (2982)
hAT,TIR,DNATransposon 2/1/2  0.1 0.9 0.2 0.4 0.0 0.0 0.5 0.0 0.7 0.8 0.0 0.1 0.1 0.0 0.0 0.0 0.0 0.0 
>Transposon33 	seq2:[+]300833-310021 (9188)
Helitron,DNATransposon 2/2  0.5 1.0 0.0 0.3 0.0 0.0 0.5 0.0 0.7 0.4 0.0 0.1 0.1 0.3 0.1 0.0 0.5 0.0 
>Transposon34 	seq2:[+]317609-320944 (3335)
CMC,TIR,DNATransposon 2/1/3  0.2 1.0 0.2 0.2 0.0 0.0 0.3 0.0 0.7 0.7 0.0 0.0 0.2 0.2 0.0 0.1 0.3 0.0 
>Transposon35 	seq2:[+]344055-345392 (1337)
hAT,TIR,DNATransposon 2/1/2  0.1 0.6 0.6 0.4 0.0 0.4 0.4 0.7 0.5 0.7 0.2 0.5 0.1 0.2 0.3 0.0 0.0 0.2 
>Transposon36 	seq2:[+]358535-360507 (1972)
Zator,TIR,DNATransposon 2/1/5  0.5 1.0 0.4 0.6 0.2 0.1 0.5 0.5 0.8 0.7 0.1 0.2 0.3 0.2 0.6 0.2 0.3 0.2 
>Transposon37 	seq2:[+]410198-413107 (2909)
hAT,TIR,DNATransposon 2/1/2  0.2 1.0 0.2 0.2 0.0 0.0 0.9 0.0 0.4 0.5 0.0 0.1 0.0 0.1 0.0 0.0 0.3 0.0 
>Transposon38 	seq2:[+]444166-446237 (2071)
hAT,TIR,DNATransposon 2/1/2  0.6 1.0 0.1 0.6 0.1 0.0 0.3 0.1 0.7 0.5 0.0 0.1 0.1 0.1 0.0 0.0 0.1 0.0 
>Transposon39 	seq2:[+]489455-499169 (9714)
Gypsy,LTR,Retrotransposon 1/1/2  0.8 1.0 0.0 0.3 0.0 0.0 0.2 0.0 0.7 0.6 0.1 0.0 0.4 0.1 0.0 0.0 0.5 0.0 
>Transposon119 	seq2:[+]186542-187290 (748)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.3 0.8 0.0 0.1 0.1 0.5 0.9 1.0 0.0 0.2 0.2 0.0 0.3 0.0 0.0 0.0 
>Transposon120 	seq2:[+]186795-187393 (598)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.4 0.6 0.0 0.1 0.4 0.7 1.0 1.0 0.1 0.0 0.1 0.1 0.4 0.0 0.0 0.0 
>Transposon121 	seq2:[+]275068-275707 (639)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.1 0.5 0.0 0.0 0.7 0.4 0.9 1.0 0.0 0.2 0.0 0.1 0.9 0.0 0.1 0.0 
>Transposon122 	seq2:[+]275172-275547 (375)
Zator,TIR,DNATransposon 2/1/5  0.0 0.8 0.1 0.4 0.0 0.2 0.2 0.4 0.9 0.9 0.0 0.1 0.1 0.2 0.6 0.0 0.0 0.0 
>Transposon123 	seq2:[+]292794-293007 (213)
Zator,TIR,DNATransposon 2/1/5  0.1 0.8 0.6 0.6 0.0 0.1 0.6 0.2 1.0 1.0 0.2 0.0 0.0 0.2 0.6 0.0 0.0 0.0 
>Transposon124 	seq2:[+]368676-368760 (84)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.3 0.6 0.1 0.1 0.6 0.7 0.8 1.0 0.3 0.1 0.0 0.2 0.6 0.0 0.0 0.1 
>Transposon125 	seq2:[-]479559-479717 (158)
Zator,TIR,DNATransposon 2/1/5  0.1 0.6 0.4 0.5 0.0 0.4 0.6 0.5 1.0 0.9 0.0 0.2 0.0 0.3 0.6 0.0 0.0 0.0 
>Transposon126 	seq2:[-]318875-318953 (78)
Zator,TIR,DNATransposon 2/1/5  0.0 0.6 0.4 0.4 0.0 0.2 0.5 0.4 1.0 0.8 0.4 0.1 0.0 0.4 0.8 0.1 0.0 0.1 
>Transposon127 	seq2:[-]44590-44789 (199)
Zator,TIR,DNATransposon 2/1/5  0.0 0.6 0.5 0.2 0.0 0.2 0.5 0.6 1.0 0.9 0.0 0.1 0.1 0.3 0.6 0.0 0.0 0.0 
>Transposon144 	seq2:[+]287982-288170 (188)
Zator,TIR,DNATransposon 2/1/5  0.2 0.8 0.1 0.5 0.0 0.0 0.5 0.5 0.9 0.6 0.0 0.3 0.1 0.0 0.5 0.1 0.0 0.1 
>Transposon145 	seq2:[+]283107-283290 (183)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.2 0.6 0.7 0.5 0.1 0.2 0.3 0.6 0.9 0.8 0.3 0.3 0.1 0.2 0.3 0.0 0.0 0.1 
>Transposon146 	seq2:[+]100325-100491 (166)
hAT,TIR,DNATransposon 2/1/2  0.0 0.9 0.3 0.4 0.1 0.1 0.7 0.8 0.9 0.8 0.1 0.3 0.2 0.2 0.3 0.0 0.1 0.4 
>Transposon147 	seq2:[+]22087-22264 (177)
Zator,TIR,DNATransposon 2/1/5  0.2 0.9 0.2 0.6 0.2 0.1 0.4 0.5 0.7 0.7 0.0 0.2 0.2 0.2 0.4 0.2 0.0 0.2 
>Transposon152 	seq2:[+]288019-288126 (107)
Zator,TIR,DNATransposon 2/1/5  0.3 0.4 0.5 0.4 0.1 0.4 0.4 0.8 0.8 0.5 0.0 0.2 0.0 0.2 0.6 0.1 0.0 0.1 
>Transposon179 	seq2:[-]147939-148457 (518)
hAT,TIR,DNATransposon 2/1/2  0.3 0.9 0.5 0.3 0.0 0.1 0.3 0.2 0.7 0.7 0.1 0.4 0.1 0.0 0.3 0.0 0.3 0.0 
>Transposon180 	seq2:[-]98454-98579 (125)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.0 0.6 0.2 0.8 0.1 0.2 0.6 0.7 0.9 0.9 0.5 0.1 0.0 0.2 0.5 0.1 0.1 0.2 
>Transposon181 	seq2:[-]16712-16836 (124)
Zator,TIR,DNATransposon 2/1/5  0.0 0.7 0.6 0.6 0.3 0.5 0.4 0.5 0.6 0.7 0.0 0.0 0.4 0.0 0.6 0.0 0.0 0.0 
>Transposon201 	seq2:[-]35246-35404 (158)
CMC,TIR,DNATransposon 2/1/3  0.1 0.7 0.5 0.5 0.0 0.2 0.3 0.8 0.9 1.0 0.1 0.0 0.4 0.3 0.4 0.0 0.0 0.0 
>Transposon202 	seq2:[-]55272-55496 (224)
Zator,TIR,DNATransposon 2/1/5  0.4 0.9 0.6 0.2 0.0 0.3 0.9 0.5 1.0 0.8 0.3 0.1 0.2 0.0 0.8 0.0 0.0 0.0 
>Transposon203 	seq2:[-]57590-57899 (309)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.1 0.5 0.2 0.1 0.6 0.4 0.9 1.0 0.0 0.1 0.1 0.0 0.4 0.0 0.0 0.0 
>Transposon207 	seq2:[+]288295-288535 (240)
Zator,TIR,DNATransposon 2/1/5  0.0 0.9 0.4 0.6 0.2 0.2 0.2 0.5 1.0 0.8 0.3 0.3 0.0 0.1 0.4 0.0 0.0 0.0 
>Transposon208 	seq2:[+]471474-471727 (253)
Zator,TIR,DNATransposon 2/1/5  0.0 1.0 0.3 0.5 0.0 0.1 0.3 0.7 1.0 0.9 0.0 0.1 0.1 0.0 0.3 0.1 0.0 0.0 
>Transposon209 	seq2:[-]432804-433319 (515)
Zator,TIR,DNATransposon 2/1/5  0.1 0.9 0.26666666666666666 0.6 0.1 0.1 0.4 0.7 0.8 0.9 0.0 0.2 0.2 0.2 0.6 0.0 0.4 0.0 
>Transposon238	seq2:[+]52776-53765 (989)
Zator,TIR,DNATransposon 2/1/5  0.3 1.0 0.0 0.4 0.0 0.0 0.7666666666666667 0.1 0.7 0.8 0.0 0.3 0.2 0.1 0.4 0.1 0.4 0.0 
>Transposon239	seq2:[+]61656-66041 (4385)
hAT,TIR,DNATransposon 2/1/2  0.2 0.8 0.3 0.1 0.2 0.0 0.4 0.5 0.8 0.8 0.1 0.4 0.1 0.3 0.3 0.1 0.2 0.0 
>Transposon240	seq2:[+]176925-179525 (2600)
hAT,TIR,DNATransposon 2/1/2  0.3 1.0 0.2 0.5 0.2 0.0 0.6 0.0 0.9 0.4 0.0 0.2 0.1 0.0 0.0 0.0 0.0 0.0 
>Transposon241	seq2:[+]188823-189847 (1024)
hAT,TIR,DNATransposon 2/1/2  0.0 1.0 0.2 0.6 0.1 0.1 0.1 0.4 0.9 0.8 0.0 0.2 0.0 0.0 0.1 0.0 0.2 0.0 
>Transposon242	seq2:[+]224545-227237 (2692)
CMC,TIR,DNATransposon 2/1/3  0.3 1.0 0.2 0.4 0.1 0.0 0.5 0.1 0.5 0.8 0.0 0.2 0.3 0.0 0.2 0.0 0.3 0.0 
>Transposon243	seq2:[+]271044-274307 (3263)
Tc1-Mariner,TIR,DNATransposon 2/1/1  0.1 0.9 0.1 0.5 0.0 0.0 0.5 0.0 0.8 0.9 0.1 0.0 0.1 0.0 0.0 0.0 0.1 0.0 
>Transposon244	seq2:[+]278497-282866 (4369)
hAT,TIR,DNATransposon 2/1/2  0.2 1.0 0.1 0.3 0.0 0.0 0.7 0.0 0.8 0.9 0.0 0.5 0.0 0.0 0.1 0.0 0.2 0.0 
>Transposon245	seq2:[+]289750-293488 (3738)
hAT,TIR,DNATransposon 2/1/2  0.2 0.9 0.2 0.7 0.1 0.0 0.6 0.0 0.7 0.5 0.0 0.2 0.1 0.0 0.0 0.0 0.2 0.0 
>Transposon248 	seq2:[-]40194-47926 (7732)
Helitron,DNATransposon 2/2  0.4 1.0 0.2 0.2 0.1 0.0 0.3 0.0 0.8 0.2 0.1 0.1 0.1 0.0 0.0 0.0 0.5 0.0 
>Transposon250 	seq2:[+]278520-293715 (15195)
hAT,TIR,DNATransposon 2/1/2  0.2 1.0 0.0 0.3 0.0 0.0 0.5 0.0 0.8 0.9 0.0 0.1 0.0 0.0 0.0 0.0 0.1 0.0 


#Explanation:
#forecast forecast 1 1/1 1/1/1 1/1/2 1/1/3 1/2 1/2/1 1/2/2 2 2/1 2/1/1 2/1/2 2/1/3 2/1/4 2/1/5 2/1/6 2/2 2/3 
